"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Datalogic+Sensor/data=!4m7!3m6!1s0x3bc2bf43346ab7df:0x44f28bc104809bc7!8m2!3d18.5583202!4d73.7915234!16s%2Fg%2F11ghflfx1k!19sChIJ37dqNEO_wjsRx5uABMGL8kQ?authuser=0&hl=en&rclk=1","Datalogic Sensor","5.0","(3)","Industrial equipment supplier","·","HQ5R+8JC","Closed","· Opens 10 am Tue","","","http://www.applesensor.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent Datalogic Sensor Prices"""
"https://www.google.com/maps/place/Klug+Avalon+Mechatronics+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2c1e555555555:0x425e8438ee889cba!8m2!3d18.4936343!4d73.9181152!16s%2Fg%2F1tfjz9jd!19sChIJVVVVVeXBwjsRupyI7jiEXkI?authuser=0&hl=en&rclk=1","Klug Avalon Mechatronics Pvt. Ltd.","4.3","(31)","Manufacturer","·","·","Closed","· Opens 9 am Tue","Plot No 4 & 7 Lane 4B, 105-106","090499 92136","http://nabarcommunication.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""One of the best in its class."""
"https://www.google.com/maps/place/Functions+India+%7C%7C+Gate+Automation+%7C%7C+Home+Automation+Company/data=!4m7!3m6!1s0x3bc2c7f4994e90eb:0xa89f5ee1c67c278b!8m2!3d18.5373777!4d73.8822432!16s%2Fg%2F11j4y69j_2!19sChIJ65BOmfTHwjsRiyd8xuFen6g?authuser=0&hl=en&rclk=1","Functions India || Gate Automation || Home Automation Company","4.8","(52)","Home automation company","·","OFFICE NO. 132, 1st FLOOR, Ashoka Mall, Functions India, Bund Garden Rd, next to RANKA JWELLERS","Closed","· Opens 10 am Tue","·","092844 31611","https://functionindiagateautomation.odoo.com/","","Website","","Directions","",""
"https://www.google.com/maps/place/Banner+Engineering+India+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2bf777f767ef5:0x5fe984e71b6a6d6b!8m2!3d18.5319088!4d73.8303727!16s%2Fg%2F1vc6bv9n!19sChIJ9X52f3e_wjsRa21qG-eE6V8?authuser=0&hl=en&rclk=1","Banner Engineering India Pvt. Ltd.","4.3","(26)","Manufacturer","·","1002, 10th Floor, 801, Senapati Bapat Rd","Closed","· Opens 9:30 am Tue","·","093721 51898","https://www.bannerengineering.com/in/en.html","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Well service"""
"https://www.google.com/maps/place/REVOTHERM+AUTOMATIONS+%28INDIA%29+PVT+LTD/data=!4m7!3m6!1s0xa23f03355d12cca5:0x469a4f3a06ffbead!8m2!3d18.5258628!4d73.8412861!16s%2Fg%2F11w_p9bp1k!19sChIJpcwSXTUDP6IRrb7_BjpPmkY?authuser=0&hl=en&rclk=1","REVOTHERM AUTOMATIONS (INDIA) PVT LTD","5.0","(1)","Engineering consultant","·","Mantri House, 7, Fergusson College Rd","Open 24 hours","","","","http://www.revothermautomation.com/","","Website","","Directions","",""
"https://www.google.com/maps/place/Ridhisidhi+Techno+Solution+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2bf92c5a56e7f:0xbc8791223e6af432!8m2!3d18.5051607!4d73.8281599!16s%2Fg%2F1pp2x574c!19sChIJf26lxZK_wjsRMvRqPiKRh7w?authuser=0&hl=en&rclk=1","Ridhisidhi Techno Solution Pvt. Ltd.","3.2","(28)","Manufacturer","·","Rico 43/2, Karve Road, OppS.N.D.T College, Near Konark, Udyog, SBI Ln","Closed","· Opens 8:30 am Tue","·","080 4605 7777","http://www.ricocontrol.net/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""very good service and support"""
"https://www.google.com/maps/place/Fixtcon+Engineering+Pvt+Ltd+-+Autonics+Sensor%2F+Airtac+Cylinder%2F+CKD+Valve%2F+Delta+PLC+%26+VFD+Dealer+in+Pune/data=!4m7!3m6!1s0x3bc2c202c3895555:0xbcc0bfb4e53b61b0!8m2!3d18.5012319!4d73.9379339!16s%2Fg%2F11h_wxyqbd!19sChIJVVWJwwLCwjsRsGE75bS_wLw?authuser=0&hl=en&rclk=1","Fixtcon Engineering Pvt Ltd - Autonics Sensor/ Airtac Cylinder/ CKD Valve/ Delta PLC & VFD Dealer in Pune","5.0","(2)","Corporate office","·","CTS 226A, PEARL TOWER, FL No A 501, 2/2","Closed","· Opens 9 am Tue","","","http://fixtconengg.com/","","Website","","Directions","",""
"https://www.google.com/maps/place/Spectrum+Sales+Corporation/data=!4m7!3m6!1s0x3bc2c06fde63f01d:0x280e4cdb17d08baf!8m2!3d18.5165239!4d73.8542756!16s%2Fg%2F1vm_wbgd!19sChIJHfBj3m_AwjsRr4vQF9tMDig?authuser=0&hl=en&rclk=1","Spectrum Sales Corporation","4.2","(11)","Electronic parts supplier","·","27-B, Siddharth Chambers Office No.7, 2nd Floor, Appa Balwant Chowk","Closed","· Opens 10 am Tue","·","089755 02467","http://www.spectrumsc.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Really innovative technology and nice service"""
"https://www.google.com/maps/place/Drihten+Technology+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2b9f89e8d548f:0xc5a7d5f12e6c4969!8m2!3d18.5919749!4d73.800109!16s%2Fg%2F11fktmrrws!19sChIJj1SNnvi5wjsRaUlsLvHVp8U?authuser=0&hl=en&rclk=1","Drihten Technology Pvt. Ltd.","4.9","(12)","Manufacturer","·","5th Floor, Vision Flora Mall, Unit No. 507 to 514, Kunal Icon Rd, opp. PCMC ground, beside Siddhivinayak Ginger Society","Closed","· Opens 9 am Tue","·","073787 11885","https://drihtentechnology.in/","","Website","","Directions","",""
"https://www.google.com/maps/place/Sunpro+Instruments+India+Pvt+Ltd/data=!4m7!3m6!1s0x3bc2c009f0b399f3:0x1b6586b7da2c0a55!8m2!3d18.499585!4d73.8429839!16s%2Fg%2F1xpwh6xv!19sChIJ85mz8AnAwjsRVQos2reGZRs?authuser=0&hl=en&rclk=1","Sunpro Instruments India Pvt Ltd","3.4","(5)","Electronics Company","·","B, Plot No. 585, Sinhagad Road`","Closed","· Opens 9 am Tue","·","020 2432 1242","http://www.sunproinst.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good Quality inspection"""
