company_name,business_type,address,phone_number,website,rating,review_count,review_snippet,opening_time,google_maps_link,review_count_num
iTech Robotics & Automation Pvt.Ltd,Automation company,·,077220 65205,http://www.irobotics.co.in/,4.6,(97),"""From concept to execution, their team delivers with precision.""",· Opens 9 am Tue,https://www.google.com/maps/place/iTech+Robotics+%26+Automation+Pvt.Ltd/data=!4m7!3m6!1s0x3bc2b64de83871f9:0x54c9caf88b07e02d!8m2!3d18.7175272!4d73.8156978!16s%2Fg%2F11g6xdcmj1!19sChIJ-XE46E22wjsRLeAHi_jKyVQ?authuser=0&hl=en&rclk=1,97.0
Hiotron (India) Private Limited - Industry 4.0 solution for smart manufacturing | IoT solution for Smart factory Pune,Electronics Company,"5th Floor, Office No. 503, City Vista Tower A",077579 29093,https://www.hiotron.com/,4.4,(92),"""Excellent Team With Great Technical Knowledge""",· Opens 10 am Tue,https://www.google.com/maps/place/Hiotron+%28India%29+Private+Limited+-+Industry+4.0+solution+for+smart+manufacturing+%7C+IoT+solution+for+Smart+factory+Pune/data=!4m7!3m6!1s0x3bc2c0d23a2a5afd:0xa93dc0b5e7ba7b96!8m2!3d18.5614715!4d73.9450077!16s%2Fg%2F11b768p5vd!19sChIJ_VoqOtLAwjsRlnu657XAPak?authuser=0&hl=en&rclk=1,92.0
SP Engineers Pune - Plant 1,Automation company,·,089563 21653,http://www.spengineerspune.com/,4.6,(91),"""Excellent products
Experienced Team
Exceptional service!""",· Opens 10 am Tue,https://www.google.com/maps/place/SP+Engineers+Pune+-+Plant+1/data=!4m7!3m6!1s0x3bc2b70ae8f00a1f:0x4f1ad5057f0f077!8m2!3d18.6872909!4d73.792801!16s%2Fg%2F1ydpv9j61!19sChIJHwrw6Aq3wjsRd_DwV1Ct8QQ?authuser=0&hl=en&rclk=1,91.0
Pune Techtrol Pvt. Ltd.,Manufacturer,·,020 6634 2900,https://www.punetechtrol.com/,4.4,(89),On-site services,· Opens 9 am Tue,https://www.google.com/maps/place/Pune+Techtrol+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2b9c745555555:0x92cf4a24e4634fc!8m2!3d18.6270891!4d73.8400225!16s%2Fg%2F1txnmxkj!19sChIJVVVVRce5wjsR_DRGTqL0LAk?authuser=0&hl=en&rclk=1,89.0
iPAC Automation Pvt Ltd | Control Systems & Instrumentation,Automation company,·,092700 01751,https://www.ipacautomation.com/,4.0,(89),On-site services,· Opens 9 am Tue,https://www.google.com/maps/place/iPAC+Automation+Pvt+Ltd+%7C+Control+Systems+%26+Instrumentation/data=!4m7!3m6!1s0x3bc2c268e91165c7:0xee25ff38b41f4543!8m2!3d18.5181316!4d73.9359792!16s%2Fg%2F1hm4xxhz5!19sChIJx2UR6WjCwjsRQ0UftDj_Je4?authuser=0&hl=en&rclk=1,89.0
Hi-Tech Solutions - Automation Company & Automation Training Institute Pune,Automation company,"Office No A-104, Happy Homes, Hi-Tech Solutions, Commercial, Awhalwadi Rd",077094 20058,https://hitechindustrialsolutions.in/,5.0,(86),"""Their systems are easy to use and suitable for",· 10 pm · Opens 9 am Tue,https://www.google.com/maps/place/Hi-Tech+Solutions+-+Automation+Company+%26+Automation+Training+Institute+Pune/data=!4m7!3m6!1s0x3bc2c396628bdaff:0x2afaa91cef891e38!8m2!3d18.5737662!4d73.9867907!16s%2Fg%2F11whdjpph2!19sChIJ_9qLYpbDwjsROB6J7xyp-io?authuser=0&hl=en&rclk=1,86.0
Fori Automation India Private Limited (A Lincoln Electric Company),Automation company,"Plot No. 34, T Block, MIDC Rd",020 6311 0400,https://www.foriauto.com/,4.4,(86),"""Best project and best sarvics
T block geat no.""",· Opens 9 am Tue,https://www.google.com/maps/place/Fori+Automation+India+Private+Limited+%28A+Lincoln+Electric+Company%29/data=!4m7!3m6!1s0x3bc2b8748b5d9d43:0xbcac44b7a69c6f2c!8m2!3d18.6328024!4d73.8278263!16s%2Fg%2F1pp2w_415!19sChIJQ51di3S4wjsRLG-cprdErLw?authuser=0&hl=en&rclk=1,86.0
"Thermo Instruments – Thermo couple,Rtd,Temperature sensor/indicator,pt 100,k/j/S type thermocouples in pune,hosur, oragadam",Manufacturer,"Shop No 13/4, Ellora Shopee",098604 11186,https://www.thermocouplesrtd.com/,5.0,(84),"""Helpful Staff and good quality of sensor""",· Opens 9 am Tue,"https://www.google.com/maps/place/Thermo+Instruments+%E2%80%93+Thermo+couple,Rtd,Temperature+sensor%2Findicator,pt+100,k%2Fj%2FS+type+thermocouples+in+pune,hosur,+oragadam/data=!4m7!3m6!1s0x3bc2c749c20e7b23:0x1b7f72d8993d28f3!8m2!3d18.637417!4d73.8453586!16s%2Fg%2F11h6lzfqb6!19sChIJI3sOwknHwjsR8yg9mdhyfxs?authuser=0&hl=en&rclk=1",84.0
Renu Electronics Pvt. Ltd.,Manufacturer,"Survey No 2, 6, Baner Rd",020 2729 2840,https://www.renuelectronics.com/,4.3,(83),"""Renu Electronics is good electric company""",· Opens 9 am Tue,https://www.google.com/maps/place/Renu+Electronics+Pvt.+Ltd./data=!4m7!3m6!1s0x3bc2bcbc56588d3f:0x636e8c9c62bb5df7!8m2!3d18.5553329!4d73.7954265!16s%2Fg%2F1tm111kn!19sChIJP41YVry8wjsR9127YpyMbmM?authuser=0&hl=en&rclk=1,83.0
Square Automation,Manufacturer,"Dangat Ind. Estate, 81/2, NDA Rd",094225 48391,http://square-automation.com/,4.8,(71),"""They best to give solutions for all your",· Opens 9 am Tue,https://www.google.com/maps/place/Square+Automation/data=!4m7!3m6!1s0x3bc295f6c390a95d:0x9a7a541caa1ea225!8m2!3d18.4696155!4d73.7901259!16s%2Fg%2F11h1d9mlc!19sChIJXamQw_aVwjsRJaIeqhxUepo?authuser=0&hl=en&rclk=1,71.0
Endeavour Automation-Danfoss/Schneider/ABB/Siemens/-Schneider/Siemens/Yaskawa VFD/AC/DC/Servo Drive Repair/Repairing in Pune,Automation company,·,098605 02108,http://endeavours.in/,4.5,(68),"""The work quality was excellent, delivered on time, and priced competitively.""",· Opens 10 am Tue,https://www.google.com/maps/place/Endeavour+Automation-Danfoss%2FSchneider%2FABB%2FSiemens%2F-Schneider%2FSiemens%2FYaskawa+VFD%2FAC%2FDC%2FServo+Drive+Repair%2FRepairing+in+Pune/data=!4m7!3m6!1s0x3bc2b9d34e88bf9b:0x65a1bd4992064a16!8m2!3d18.6244722!4d73.759113!16s%2Fg%2F11fpkl2px1!19sChIJm7-ITtO5wjsRFkoGkkm9oWU?authuser=0&hl=en&rclk=1,68.0
Electronics Systems & Devices,Electronics Company,"ESD HOUSE, 55 Hadapsar Industrial Estate,",089566 01980,https://www.esd-india.com/,4.3,(68),,· Opens 8:30 am Tue,https://www.google.com/maps/place/Electronics+Systems+%26+Devices/data=!4m7!3m6!1s0x3bc2c1e555555555:0x9bc67c826243a81c!8m2!3d18.5118653!4d73.9151868!16s%2Fg%2F1td5pqt7!19sChIJVVVVVeXBwjsRHKhDYoJ8xps?authuser=0&hl=en&rclk=1,68.0
Softcon Systems Private Limited,Automation company,"S. No. 80/02, Off Mumbai- Bangalore Highway, Tathawade, next to JSPM Campus",088888 25314,https://softcon.net.in/,4.3,(67),"""Best company in the field of",· Opens 9 am Tue,https://www.google.com/maps/place/Softcon+Systems+Private+Limited/data=!4m7!3m6!1s0x3bc2b989e3703be7:0xc462cb22a90722ae!8m2!3d18.6206818!4d73.7466434!16s%2Fg%2F11gzdh_5c!19sChIJ5ztw44m5wjsRriIHqSLLYsQ?authuser=0&hl=en&rclk=1,67.0
SAS Automation Pvt. Ltd,Automation company,"58, Unit, Police Chowki, Shree Sant Dnyaneshwar Industrial Estate, Plot 59, Mohan Nagar Main Rd, near Mohanagar",077568 69619,http://www.sasautomation.in/,4.6,(65),"""Excellent company and very good""",· Opens 9 am Tue,https://www.google.com/maps/place/SAS+Automation+Pvt.+Ltd/data=!4m7!3m6!1s0x3bc2b834df48985b:0x7a02a9e9af27c5af!8m2!3d18.6456189!4d73.7992222!16s%2Fg%2F11d_8cvf8f!19sChIJW5hI3zS4wjsRr8Unr-mpAno?authuser=0&hl=en&rclk=1,65.0
